,diagnosis_type,diagnosis_code
2987, Anal and rectal polyp,69.0
2988, Rectal prolapse,69.1
2989, Stenosis of rectum and anus,69.2
2990, Hemorrhage of rectum and anus,69.3
2991, Other disorders of rectum and anus,69.4
2992, Abscess of intestine,69.5
2993, Other,69.8
2994, Unspecified,69.9
2995,Acute and subacute necrosis of liver,70
2996,Chronic liver disease and cirrhosis,71
2997, Alcoholic fatty liver,71.0
2998, Acute alcoholic hepatitis,71.1
2999, Alcoholic cirrhosis of liver,71.2
3000," Alcoholic liver damage, unspecified",71.3
3001, Chronic hepatitis,71.4
3002, Cirrhosis of liver without mention of alcohol,71.5
3003, Biliary cirrhosis,71.6
3004, Other chronic nonalcoholic liver disease,71.8
3005, Unspecified chronic liver disease without mention of alcohol,71.9
3006,Liver abscess and sequelae of chronic liver disease,72
3007, Abscess of liver,72.0
3008, Portal pyemia,72.1
3009, Hepatic coma,72.2
3010, Portal hypertension,72.3
3011, Hepatorenal syndrome,72.4
3012, Other sequelae of chronic liver disease,72.8
3013,Other disorders of liver,73
3014, Chronic passive congestion of liver,73.0
3015, Hepatitis unspecified,73.3
3016, Hepatic infarction,73.4
3017, Other,73.8
3018, Unspecified,73.9
3019,Cholelithiasis,74
3020, Calculus of gallbladder with acute cholecystitis,74.0
3021, Calculus of gallbladder with other cholecystitis,74.1
3022, Calculus of gallbladder without mention of cholecystitis,74.2
3023, Calculus of bile duct with acute cholecystitis,74.3
3024, Calculus of bile duct with other cholecystitis,74.4
3025, Calculus of bile duct without mention of cholecystitis,74.5
3026,Other disorders of gallbladder,75
3027, Acute cholecystitis,75.0
3028, Other cholecystitis,75.1
3029, Obstruction of gallbladder,75.2
3030, Hydrops of gallbladder,75.3
3031, Perforation of gallbladder,75.4
3032, Fistula of gallbladder,75.5
3033, Cholesterolosis of gallbladder,75.6
3034, Other,75.8
3035, Unspecified,75.9
3036,Other disorders of biliary tract,76
3037, Cholangitis,76.1
3038, Obstruction of bile duct,76.2
3039, Perforation of bile duct,76.3
3040, Fistula of bile duct,76.4
3041, Spasm of sphincter of Oddi,76.5
3042, Other,76.8
3043, Unspecified,76.9
3044,Diseases of pancreas,77
3045, Acute pancreatitis,77.0
3046, Chronic pancreatitis,77.1
3047, Cyst and pseudocyst of pancreas,77.2
3048, Other diseases of pancreas,77.8
3049, Unspecified,77.9
3050,Gastrointestinal hemorrhage,78
3051, Hematemesis,78.0
3052, Melena,78.1
3053," Hemorrhage of gastrointestinal tract, unspecified",78.9
3054,Intestinal malabsorption,79
3055, Celiac disease,79.0
3056, Tropical sprue,79.1
3057, Pancreatic steatorrhea,79.4
3058, Other,79.8
3059, Unspecified,79.9
3060,Acute glomerulonephritis,80
3061, With lesion of proliferative glomerulonephritis,80.0
3062, With lesion of rapidly progressive glomerulonephritis,80.4
3063, With other specified pathological lesion in kidney,80.8
3064, Unspecified,80.9
3065,Nephrotic syndrome,81
3066, With lesion of proliferative glomerulonephritis,81.0
3067, With lesion of membranous glomerulonephritis,81.1
3068, With lesion of membranoproliferative glomerulonephritis,81.2
3069, With lesion of minimal change glomerulonephritis,81.3
3070, With other specified pathological lesion in kidney,81.8
3071, Unspecified,81.9
3072,Chronic glomerulonephritis,82
3073, With lesion of proliferative glomerulonephritis,82.0
3074, With lesion of membranous glomerulonephritis,82.1
3075, With lesion of membranoproliferative glomerulonephritis,82.2
3076, With lesion of rapidly progressive glomerulonephritis,82.4
3077, With other specified pathological lesion in kidney,82.8
3078, Unspecified,82.9
3079,"Nephritis and nephropathy, not specified as acute or chronic",83
3080, With lesion of proliferative glomerulonephritis,83.0
3081, With lesion of membranous glomerulonephritis,83.1
3082, With lesion of membranoproliferative glomerulonephritis,83.2
3083, With lesion of rapidly progressive glomerulonephritis,83.4
3084, With lesion of renal cortical necrosis,83.6
3085, With lesion of renal medullary necrosis,83.7
3086, With other specified pathological lesion in kidney,83.8
3087, With unspecified pathological lesion in kidney,83.9
3088,Acute renal failure,84
3089, With lesion of tubular necrosis,84.5
3090, With lesion of renal cortical necrosis,84.6
3091, With lesion of renal medullary -papillary necrosis,84.7
3092, With other specified pathological lesion in kidney,84.8
3093, Unspecified,84.9
3094,Chronic renal failure,85
3095,"Renal failure, unspecified",86
3096,"Renal sclerosis, unspecified",87
3097,Disorders resulting from impaired renal function,88
3098, Renal osteodystrophy,88.0
3099, Nephrogenic diabetes insipidus,88.1
3100, Other,88.8
3101, Unspecified,88.9
3102,Small kidney of unknown cause,89
3103, Unilateral,89.0
3104, Bilateral,89.1
3105, Unspecified,89.9
3106,Infections of kidney,90
3107, Chronic pyelonephritis and chronic pyonephrosis,90.0
3108, Acute pyelonephritis and acute pyonephrosis,90.1
3109, Renal and perinephric abscess,90.2
3110, Pyeloureteritis cystica,90.3
3111," Pyelonephritis or pyonephrosis, not specified as acute or chronic",90.8
3112," Infection of kidney, unspecified",90.9
3113,Hydronephrosis,91
3114,Calculus of kidney and ureter,92
3115, Calculus of kidney,92.0
3116, Calculus of ureter,92.1
3117," Urinary calculus, unspecified",92.9
3118,Other disorders of kidney and ureter,93
3119, Nephroptosis,93.0
3120, Hypertrophy of kidney,93.1
3121," Cyst of kidney, acquired",93.2
3122, Stricture or kinking of ureter,93.3
3123, Other ureteric obstruction,93.4
3124, Hydroureter,93.5
3125, Postural proteinuria,93.6
3126, Vesicoureteric reflux,93.7
3127, Other,93.8
3128, Unspecified,93.9
3129,Calculus of lower urinary tract,94
3130, Calculus in diverticulum of bladder,94.0
3131, Other calculus in bladder,94.1
3132, Calculus in urethra,94.2
3133, Other lower urinary tract calculus,94.8
3134, Unspecified,94.9
3135,Cystitis,95
3136, Acute cystitis,95.0
3137, Chronic interstitial cystitis,95.1
3138, Other chronic cystitis,95.2
3139, Trigonitis,95.3
3140, Other,95.8
3141, Unspecified,95.9
3142,Other disorders of bladder,96
3143, Bladder-neck obstruction,96.0
3144, Intestinovesical fistula,96.1
3145," Vesical fistula, not elsewhere classified",96.2
3146, Diverticulum of bladder,96.3
3147, Atony of bladder,96.4
3148, Other functional disorders of bladder,96.5
3149," Rupture of bladder, nontraumatic",96.6
3150, Hemorrhage into bladder wall,96.7
3151, Other,96.8
3152, Unspecified,96.9
3153,"Urethritis, not sexually transmitted, and urethral syndrome",97
3154, Urethral abscess,97.0
3155, Other urethritis,97.8
3156,Urethral stricture,98
3157, Infective,98.0
3158, Traumatic,98.1
3159, Postoperative,98.2
3160, Other,98.8
3161, Unspecified,98.9
3162,Other disorders of urethra and urinary tract,99
3163," Urinary tract infection, site not specified",99.0
3164, Urethral fistula,99.1
3165, Urethral diverticulum,99.2
3166, Urethral caruncle,99.3
3167, Urethral false passage,99.4
3168, Prolapsed urethral mucosa,99.5
3169," Urinary obstruction, unspecified",99.6
3170, Hematuria,99.7
3171, Other,99.8
3172, Unspecified,99.9
3173,Hyperplasia of prostate,00
3174,Inflammatory diseases of prostate,01
3175, Acute prostatitis,01.0
3176, Chronic prostatitis,01.1
3177, Abscess of prostate,01.2
3178, Prostatocystitis,01.3
3179, Other,01.8
3180, Unspecified,01.9
3181,Other disorders of prostate,02
3182, Calculus of prostate,02.0
3183, Congestion or hemorrhage of prostate,02.1
3184, Atrophy of prostate,02.2
3185, Other,02.8
3186, Unspecified,02.9
3187,Hydrocele,03
3188, Encysted hydrocele,03.0
3189, Infected hydrocele,03.1
3190, Other,03.8
3191, Unspecified,03.9
3192,Orchitis and epididymitis,04
3193," Orchitis, epididymitis, and epididymo-orchitis, with abscess",04.0
3194," Orchitis, epididymitis, and epididymo-orchitis, without mention of abscess",04.9
3195,Redundant prepuce and phimosis,05
3196,"Infertility, male",06
3197,Disorders of penis,07
3198, Leukoplakia of penis,07.0
3199, Balanoposthitis,07.1
3200, Other inflammatory disorders of penis,07.2
3201, Priapism,07.3
3202, Other,07.8
3203, Unspecified,07.9
3204,Other disorders of male genital organs,08
3205, Seminal vesiculitis,08.0
3206, Spermatocele,08.1
3207, Torsion of testis,08.2
3208, Atrophy of testis,08.3
3209, Other inflammatory disorders of male genital organs,08.4
3210, Other,08.8
3211, Unspecified,08.9
3212,Benign mammary dysplasias,10
3213, Solitary cyst of breast,10.0
3214, Diffuse cystic mastopathy,10.1
3215, Fibroadenosis of breast,10.2
3216, Fibrosclerosis of breast,10.3
3217, Mammary duct ectasia,10.4
3218, Other,10.8
3219," Mammary dysplasia, unspecified",10.9
3220,Other disorders of breast,11
3221, Inflammatory disease of breast,11.0
3222, Hypertrophy of breast,11.1
3223, Fissure of nipple,11.2
3224, Fat necrosis of breast,11.3
3225, Atrophy of breast,11.4
3226, Galactocele,11.5
3227, Galactorrhea not associated with childbirth,11.6
3228, Signs and symptoms in breast,11.7
3229, Other,11.8
3230, Unspecified,11.9
3231,"Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum",14
3232, Acute salpingitis and oophoritis,14.0
3233, Chronic salpingitis and oophoritis,14.1
3234," Salpingitis and oophoritis, not specified as acute, subacute, or chronic",14.2
3235, Acute parametritis and pelvic cellulitis,14.3
3236, Chronic or unspecified parametritis and pelvic cellulitis,14.4
3237," Acute or unspecified pelvic peritonitis, female",14.5
3238," Pelvic peritoneal adhesions, female",14.6
3239," Other chronic pelvic peritonitis, female",14.7
3240, Other specified inflammatory disease of female pelvic organs and tissues,14.8
3241, Unspecified inflammatory disease of female pelvic organs and tissues,14.9
3242,"Inflammatory diseases of uterus, except cervix",15
3243, Acute,15.0
3244, Chronic,15.1
3245, Unspecified,15.9
3246,"Inflammatory disease of cervix, vagina, and vulva",16
3247, Cervicitis and endocervicitis,16.0
3248, Vaginitis and vulvovaginitis,16.1
3249, Cyst of Bartholin's gland,16.2
3250, Abscess of Bartholin's gland,16.3
3251, Other abscess of vulva,16.4
3252, Ulceration of vulva,16.5
3253, Other,16.8
3254, Unspecified,16.9
3255,Endometriosis,17
3256, Uterus,17.0
3257, Ovary,17.1
3258, Fallopian tube,17.2
3259, Pelvic peritoneum,17.3
3260, Rectovaginal septum and vagina,17.4
3261, Intestine,17.5
3262, Endometriosis in scar or skin,17.6
3263, Other specified sites,17.8
3264, Site unspecified,17.9
3265,Genital prolapse,18
3266, Prolapse of vaginal walls without mention of uterine prolapse,18.0
3267, Uterine prolapse without mention of vaginal wall prolapse,18.1
3268," Uterovaginal prolapse, incomplete",18.2
3269," Uterovaginal prolapse, complete",18.3
3270," Uterovaginal prolapse, unspecified",18.4
3271, Prolapse of vaginal vault after hysterectomy,18.5
3272," Vaginal enterocele, congenital or acquired",18.6
3273, Old laceration of muscles of pelvic floor,18.7
3274, Other,18.8
3275, Unspecified,18.9
3276,Fistulae involving female genital tract,19
3277," Urinary-genital tract fistulae, female",19.0
3278," Digestive - genital tract fistulae, female",19.1
3279," Genital tract - skin fistulae, female",19.2
3280, Other,19.8
3281, Unspecified fistula involving female genital tract,19.9
3282,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",20
3283, Follicular cyst of ovary,20.0
3284, Corpus luteum cyst or hematoma,20.1
3285, Other and unspecified ovarian cyst,20.2
3286, Acquired atrophy of ovary and fallopian tube,20.3
3287, Prolapse or hernia of ovary and fallopian tube,20.4
3288," Torsion of ovary, ovarian pedicle or fallopian tube",20.5
3289, Broad ligament laceration syndrome,20.6
3290, Hematoma of broad ligament,20.7
3291, Other,20.8
3292, Unspecified,20.9
3293,"Disorders of uterus, not elsewhere classified",21
3294, Polyp of corpus uteri,21.0
3295, Chronic subinvolution of uterus,21.1
3296, Hypertrophy of uterus,21.2
3297, Endometrial cystic hyperplasia,21.3
3298, Hematometra,21.4
3299, Intrauterine synechiae,21.5
3300, Malposition of uterus,21.6
3301, Chronic inversion of uterus,21.7
3302, Other,21.8
3303, Unspecified disorders of uterus,21.9
3304,Noninflammatory disorders of cervix,22
3305, Erosion and ectropion of cervix,22.0
3306, Dysplasia of cervix -uteri,22.1
3307, Leukoplakia of cervix -uteri,22.2
3308, Old laceration of cervix,22.3
3309, Stricture and stenosis of cervix,22.4
3310, Incompetence of cervix,22.5
3311, Hypertrophic elongation of cervix,22.6
3312, Mucous polyp of cervix,22.7
3313, Other,22.8
3314, Unspecified,22.9
3315,Noninflammatory disorders of vagina,23
3316, Dysplasia of vagina,23.0
3317, Leukoplakia of vagina,23.1
3318, Stricture or atresia of vagina,23.2
3319, Tight hymenal ring,23.3
3320, Old vaginal laceration,23.4
3321," Leukorrhea, not specified as infective",23.5
3322, Vaginal hematoma,23.6
3323, Polyp of vagina,23.7
3324, Other,23.8
3325, Unspecified,23.9
3326,Noninflammatory disorders of vulva and perineum,24
3327, Dystrophy of vulva,24.0
3328, Atrophy of vulva,24.1
3329, Hypertrophy of clitoris,24.2
3330, Hypertrophy of labia,24.3
3331, Old laceration or scarring of vulva,24.4
3332, Hematoma of vulva,24.5
3333, Polyp of labia and vulva,24.6
3334, Other,24.8
3335, Unspecified,24.9
3336,Pain and other symptoms associated with female genital organs,25
3337, Dyspareunia,25.0
3338, Vaginismus,25.1
3339, Mittelschmerz,25.2
3340, Dysmenorrhea,25.3
3341, Premenstrual tension syndromes,25.4
3342, Pelvic congestion syndrome,25.5
3343," Stress incontinence, female",25.6
3344, Other,25.8
3345, Unspecified,25.9
3346,Disorders of menstruation and other abnormal bleeding from female genital tract,26
3347, Absence of menstruation,26.0
3348, Scanty or infrequent menstruation,26.1
3349, Excessive or frequent menstruation,26.2
3350, Puberty bleeding,26.3
3351, Irregular menstrual cycle,26.4
3352, Ovulation bleeding,26.5
3353, Metrorrhagia,26.6
3354, Postcoital bleeding,26.7
3355, Other,26.8
3356, Unspecified,26.9
3357,Menopausal and postmenopausal disorders,27
3358, Premenopausal menorrhagia,27.0
3359, Postmenopausal bleeding,27.1
3360, Menopausal or female climacteric states,27.2
3361, Postmenopausal atrophic vaginitis,27.3
3362, States associated with artificial menopause,27.4
3363, Other,27.8
3364, Unspecified,27.9
3365,"Infertility, female",28
3366, Associated with anovulation,28.0
3367, Of tubal origin,28.2
3368, Of uterine origin,28.3
3369, Of cervical or vaginal origin,28.4
3370, Of other specified origin,28.8
3371, Of unspecified origin,28.9
3372,Other disorders of female genital organs,29
3373," Hematocele, female",29.0
3374," Hydrocele, canal of Nuck",29.1
3375, Other,29.8
3376, Unspecified,29.9
3377,Hydatidiform mole,30
3378,Other abnormal product of conception,31
3379,Missed abortion,32
3380,Ectopic pregnancy,33
3381, Abdominal pregnancy,33.0
3382, Tubal pregnancy,33.1
3383, Ovarian pregnancy,33.2
3384, Other ectopic pregnancy,33.8
3385, Unspecified,33.9
3386,Spontaneous abortion,34
3387, Complicated by genital tract and pelvic infection,34.0
3388, Complicated by delayed or excessive hemorrhage,34.1
3389, Complicated by damage to pelvic organs and tissues,34.2
3390, Complicated by renal failure,34.3
3391, Complicated by metabolic disorder,34.4
3392, Complicated by shock,34.5
3393, Complicated by embolism,34.6
3394, With other specified complications,34.7
3395, With unspecified complications,34.8
3396, Without mention of complication,34.9
3397,Legally induced abortion,35
3398, Complicated by genital tract and pelvic infection,35.0
3399, Complicated by delayed or excessive hemorrhage,35.1
3400, Complicated by damage to pelvic organs and tissues,35.2
3401, Complicated by renal failure,35.3
3402, Complicated by metabolic disorder,35.4
3403, Complicated by shock,35.5
3404, Complicated by embolism,35.6
3405, With other specified complications,35.7
3406, With unspecified complications,35.8
3407, Without mention of complication,35.9
3408,Illegally induced abortion,36
3409, Complicated by genital tract and pelvic infection,36.0
3410, Complicated by delayed or excessive hemorrhage,36.1
3411, Complicated by damage to pelvic organs and tissues,36.2
3412, Complicated by renal failure,36.3
3413, Complicated by metabolic disorder,36.4
3414, Complicated by shock,36.5
3415, Complicated by embolism,36.6
3416, With other specified complications,36.7
3417, With unspecified complications,36.8
3418, Without mention of complication,36.9
3419,Unspecified abortion,37
3420, Complicated by genital tract and pelvic infection,37.0
3421, Complicated by delayed or excessive hemorrhage,37.1
3422, Complicated by damage to pelvic organs and tissues,37.2
3423, Complicated by renal failure,37.3
3424, Complicated by metabolic disorder,37.4
3425, Complicated by shock,37.5
3426, Complicated by embolism,37.6
3427, With other specified complications,37.7
3428, With unspecified complications,37.8
3429, Without mention of complication,37.9
3430,Failed attempted abortion,38
3431, Complicated by genital tract and pelvic infection,38.0
3432, Complicated by delayed or excessive hemorrhage,38.1
3433, Complicated by damage to pelvic organs and tissues,38.2
3434, Complicated by renal failure,38.3
3435, Complicated by metabolic disorder,38.4
3436, Complicated by shock,38.5
3437, Complicated by embolism,38.6
3438, With other specified complications,38.7
3439, With unspecified complications,38.8
3440, Without mention of complication,38.9
3441,Hemorrhage in early pregnancy,40
3442,"Antepartum hemorrhage, abruptio placentae, and placenta praevia",41
3443,"Hypertension complicating pregnancy, childbirth, and the puerperium",42
3444," Benign essential hypertension complicating pregnancy, childbirth, and the puerperium",42.0
3445," Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium",42.1
3446," Other pre_1Existing hypertension complicating pregnancy, childbirth, and the puerperium",42.2
3447, Transient hypertension of pregnancy,42.3
3448, Mild or unspecified pre_1Eclampsia,42.4
3449, Severe pre_1Eclampsia,42.5
3450, Eclampsia,42.6
3451, Pre_1Eclampsia or eclampsia superimposed on pre_1Existing hypertension,42.7
3452," Unspecified hypertension complicating pregnancy, childbirth, and the puerperium",42.9
3453,Excessive vomiting in pregnancy,43
3454,Early or threatened labor,44
3455,Prolonged pregnancy,45
3456,"Other complications of pregnancy, not elsewhere classified",46
3457, Papyraceous fetus,46.0
3458, Edema or excessive weight gain in pregnancy without mention of hypertension,46.1
3459, Unspecified renal disease in pregnancy without mention of hypertension,46.2
3460, Habitual aborter,46.3
3461, Peripheral neuritis in pregnancy,46.4
3462, Asymptomatic bacteriuria in pregnancy,46.5
3463, Infections of genitourinary tract in pregnancy,46.6
3464, Liver disorders in pregnancy,46.7
3465, Other specified complications of pregnancy,46.8
3466, Unspecified complication of pregnancy,46.9
3467,"childbirth, and the puerperium",47
3468, Syphilis,47.0
3469, Gonorrhea,47.1
3470, Other venereal diseases,47.2
3471, Tuberculosis,47.3
3472, Malaria,47.4
3473, Rubella,47.5
3474, Other viral diseases,47.6
3475, Other specified infective and parasitic diseases,47.8
3476, Unspecified infection or infestation,47.9
3477,"childbirth, and the puerperium",48
3478, Diabetes mellitus,48.0
3479, Thyroid dysfunction,48.1
3480, Anemia,48.2
3481, Drug dependence,48.3
3482, Mental disorders,48.4
3483, Congenital cardiovascular disorders,48.5
3484, Other cardiovascular diseases,48.6
3485," Bone and joint disorders of back, pelvis, and lower limbs",48.7
3486, Abnormal glucose tolerance,48.8
3487, Other,48.9
3488,Delivery in a completely normal case,50
3489,Multiple gestation,51
3490,Malposition and malpresentation of fetus,52
3491,Disproportion,53
3492,Abnormality of organs and soft tissues of pelvis,54
3493,Known or suspected fetal abnormality affecting management of mother,55
3494,Other fetal and placental problems affecting management of mother,56
3495,Polyhydramnios,57
3496,Other problems associated with amniotic cavity and membranes,58
3497,classified,59
3498,Obstructed labor,60
3499,Abnormality of forces of labor,61
3500,Long labor,62
3501,Umbilical cord complications,63
3502,Trauma to perineum and vulva during delivery,64
3503,Other obstetrical trauma,65
3504,Postpartum hemorrhage,66
3505,Retained placenta or membranes without hemorrhage,67
3506,Complications of the administration of anesthetic or other sedation in labor and delivery,68
3507,"Other complications of labor and delivery, not elsewhere classified",69
3508,Major puerperal infection,70
3509,Venous complications in pregnancy and the puerperium,71
3510,Pyrexia of unknown origin during the puerperium,72
3511,Obstetrical pulmonary embolism,73
3512,"Other and unspecified complications of the puerperium, not elsewhere classified",74
3513,Infections of the breast and nipple associated with childbirth,75
3514,Other disorders of the breast associated with childbirth and disorders of lactation,76
3515,Carbuncle and furuncle,80
3516, Face,80.0
3517, Neck,80.1
3518, Trunk,80.2
3519, Upper arm and forearm,80.3
3520, Hand,80.4
3521, Buttock,80.5
3522," Leg, except foot",80.6
3523, Foot,80.7
3524, Other specified site,80.8
3525, Unspecified site,80.9
3526,Cellulitis and abscess of finger and toe,81
3527, Finger,81.0
3528, Toe,81.1
3529, Unspecified digit,81.9
3530,Other cellulitis and abscess,82
3531, Face,82.0
3532, Neck,82.1
3533, Trunk,82.2
3534, Upper arm and forearm,82.3
3535," Hand, except fingers",82.4
3536, Buttock,82.5
3537," Leg, except foot",82.6
3538," Foot, except toes",82.7
3539, Other specified site,82.8
3540, Unspecified site,82.9
3541,Acute lymphadenitis,83
3542,Impetigo,84
3543,Pilonidal cyst,85
3544, With abscess,85.0
3545, Without mention of abscess,85.1
3546,Other local infections of skin and subcutaneous tissue,86
3547, Pyoderma,86.0
3548, Pyogenic granuloma,86.1
3549, Other local infections of skin and subcutaneous tissue,86.8
3550, Unspecified local infections of skin and subcutaneous tissue,86.9
3551,Erythematosquamous dermatosis,90
3552,Atopic dermatitis and related conditions,91
3553, Diaper or napkin rash,91.0
3554, Other,91.8
3555,Contact dermatitis and other eczema,92
3556, Due to detergents,92.0
3557, Due to oils and greases,92.1
3558, Due to solvents,92.2
3559, Due to drugs and medicaments in contact with skin,92.3
3560, Due to other chemical products,92.4
3561, Due to food in contact with skin,92.5
3562, Due to plants,Except food
3563, Due to solar radiation,92.7
3564, Due to other specified agents,92.8
3565, Unspecified cause,92.9
3566,Dermatitis due to substances taken internally,93
3567, Due to drugs and medicaments,93.0
3568, Due to food,93.1
3569, Due to other specified substance,93.8
3570, Due to unspecified substance,93.9
3571,Bullous dermatoses,94
3572, Dermatitis herpetiformis,94.0
3573, Subcorneal pustular dermatosis,94.1
3574, Juvenile dermatitis herpetiformis,94.2
3575, Impetigo herpetiformis,94.3
3576, Pemphigus,94.4
3577, Pemphigoid,94.5
3578, Benign mucous membrane pemphigoid,94.6
3579, Other bullous dermatoses,94.8
3580, Unspecified,94.9
3581,Erythematous conditions,95
3582, Toxic erythema,95.0
3583, Erythema multiforme,95.1
3584, Erythema nodosum,95.2
3585, Rosacea,95.3
3586, Lupus erythematosus,95.4
3587, Other erythematous conditions,95.8
3588, Unspecified,95.9
3589,Psoriasis and similar disorders,96
3590, Psoriatic arthropathy,96.0
3591, Other psoriasis,96.1
3592, Parapsoriasis,96.2
3593, Pityriasis rosea,96.3
3594, Pityriasis rubra pilaris,96.4
3595, Other and unspecified pityriasis,96.5
3596, Other,96.8
3597,Lichen,97
3598, Lichen planus,97.0
3599, Lichen nitidus,97.1
3600," Other lichen, not elsewhere classified",97.8
3601, Unspecified,97.9
3602,Pruritus and related conditions,98
3603, Pruritis ani,98.0
3604, Pruritis of genital organs,98.1
3605, Prurigo,98.2
3606, Lichenification and lichen simplex chronicus,98.3
3607, Dermatitis factitia -artefacta,98.4
3608, Other pruritic conditions,98.8
3609, Unspecified,98.9
3610,Corns and callosities,00
3611,Other hypertrophic and atrophic conditions of skin,01
3612, Circumscribed scleroderma,01.0
3613," Keratoderma, acquired",01.1
3614, Acquired acanthosis nigricans,01.2
3615, Striae atrophicae,01.3
3616, Keloid scar,01.4
3617, Other abnormal granulation tissue,01.5
3618, Other hypertrophic and atrophic conditions of skin,01.8
3619, Unspecified,01.9
3620,Other dermatoses,02
3621,Diseases of nail,03
3622, Ingrowing nail,03.0
3623, Other diseases of nail,03.8
3624, Unspecified,03.9
3625,Diseases of hair and hair follicles,04
3626, Alopecia,04.0
3627, Hirsutism,04.1
3628, Abnormalities of the hair,04.2
3629, Variations in hair color,04.3
3630, Other diseases of hair and hair follicles,04.8
3631, Unspecified,04.9
3632,Disorders of sweat glands,05
3633, Anhidrosis,05.0
3634, Prickly heat,05.1
3635, Other disorders of sweat glands,05.8
3636, Unspecified,05.9
3637,Diseases of sebaceous glands,06
3638, Acne varioliformis,06.0
3639, Other acne,06.1
3640, Sebaceous cyst,06.2
3641, Seborrhea,06.3
3642, Other disorders of sebaceous glands,06.8
3643, Unspecified,06.9
3644,Chronic ulcer of skin,07
3645, Decubitus ulcer,07.0
3646," Ulcer of lower limbs, except decubitus",07.1
3647, Chronic ulcer of other specified sites,07.8
3648, Chronic ulcer of unspecified site,07.9
3649,Urticaria,08
3650, Allergic urticaria,08.0
3651, Idiopathic urticaria,08.1
3652, Urticaria due to cold and heat,08.2
3653, Dermatographic urticaria,08.3
3654, Vibratory urticaria,08.4
3655, Cholinergic urticaria,08.5
3656, Other specified urticaria,08.8
3657, Unspecified,08.9
3658,Other disorders of skin and subcutaneous tissue,09
3659, Dyschromia,09.0
3660, Vascular disorders of skin,09.1
3661, Scar conditions and fibrosis of skin,09.2
3662, Degenerative skin disorders,09.3
3663, Foreign body granuloma of skin and subcutaneous tissue,09.4
3664, Other diseases of skin,09.8
3665, Unspecified,09.9
3666,Diffuse diseases of connective tissue,10
3667, Systemic lupus erythematosus,10.0
3668, Systemic sclerosis,10.1
3669, Sicca syndrome,10.2
3670, Dermatomyositis,10.3
3671, Polymyositis,10.4
3672, Other,10.8
3673, Unspecified,10.9
3674,Arthropathy associated with infections,11
3675, Pyogenic arthritis,11.0
3676, Unspecified infective arthritis,11.9
3677,Crystal arthropathies,12
3678, Other crystal arthropathies,12.8
3679, Unspecified crystal arthropathy,12.9
3680,Rheumatoid arthritis and other inflammatory polyarthropathies,14
3681, Rheumatoid arthritis,14.0
3682, Felty's syndrome,14.1
3683, Other rheumatoid arthritis with visceral or systemic involvement,14.2
3684, Juvenile chronic polyarthritis,14.3
3685, Chronic postrheumatic arthropathy,14.4
3686, Other,14.8
3687, Unspecified,14.9
3688,Osteoarthrosis and allied disorders,15
3689, Generalized,15.0
3690," Localized, primary",15.1
3691," Localized, secondary",15.2
3692," Localized, not specified whether primary or secondary",15.3
3693, Involving or with mention of more than one site but not specified as generalized,15.8
3694, Unspecified whether generalized or localized,15.9
3695,Other and unspecified arthropathies,16
3696, Kaschin-Beck disease,16.0
3697, Traumatic arthropathy,16.1
3698, Allergic arthritis,16.2
3699, Climacteric arthritis,16.3
3700, Transient arthropathy,16.4
3701, Unspecified polyarthropathy or polyarthritis,16.5
3702, Unspecified monoarthritis,16.6
3703, Other specified arthropathy,16.8
3704, Unspecified,16.9
3705,Internal derangement of knee,17
3706, Old bucket handle tear of medial meniscus,17.0
3707, Derangement of anterior horn of medial meniscus,17.1
3708, Derangement of posterior horn of medial meniscus,17.2
3709, Other and unspecified derangement of medial meniscus,17.3
3710, Derangement of lateral meniscus,17.4
3711," Derangement of meniscus, not elsewhere classified",17.5
3712, Loose body in knee,17.6
3713, Chondromalacia patellae,17.7
3714, Other,17.8
3715, Unspecified,17.9
3716,Other derangement of joint,18
3717, Articular cartilage disorder,18.0
3718, Loose body in joint,18.1
3719, Pathological dislocation,18.2
3720, Recurrent dislocation of joint,18.3
3721, Contracture of joint,18.4
3722, Ankylosis of joint,18.5
3723, Unspecified protrusio acetabuli,18.6
3724," Other joint derangement, not elsewhere classified",18.8
3725, Unspecified,18.9
3726,Other and unspecified disorder of joint,19
3727, Effusion of joint,19.0
3728, Hemarthrosis,19.1
3729, Villonodular synovitis,19.2
3730, Palindromic rheumatism,19.3
3731, Pain in joint,19.4
3732," Stiffness of joint, not elsewhere classified",19.5
3733, Other symptoms referable to joint,19.6
3734, Difficulty in walking,19.7
3735, Other,19.8
3736, Unspecified,19.9
3737,Ankylosing spondylitis and other inflammatory spondylopathies,20
3738, Ankylosing spondylitis,20.0
3739, Spinal enthesopathy,20.1
3740," Sacroiliitis, not elsewhere classified",20.2
3741, Other inflammatory spondylopathies,20.8
3742, Unspecified inflammatory spondylopathy,20.9
3743,Spondylosis and allied disorders,21
3744, Cervical spondylosis without myelopathy,21.0
3745, Cervical spondylosis with myelopathy,21.1
3746, Thoracic spondylosis without myelopathy,21.2
3747, Lumbosacral spondylosis without myelopathy,21.3
3748, Thoracic or lumbar spondylosis with myelopathy,21.4
3749, Kissing spine,21.5
3750, Ankylosing vertebral hyperostosis,21.6
