,diagnosis_code,diagnosis_type
2902,528.8," Oral submucous fibrosis, including of tongue "
2903,528.9, Other and unspecified 
2904,529,Diseases and other conditions of the tongue 
2905,529.0, Glossitis 
2906,529.1, Geographic tongue 
2907,529.2, Median rhomboid glossitis 
2908,529.3, Hypertrophy of tongue papillae 
2909,529.4, Atrophy of tongue papillae 
2910,529.5, Plicated tongue 
2911,529.6, Glossodynia 
2912,529.8, Other conditions of the tongue 
2913,529.9, Unspecified 
2915,530,Diseases of esophagus 
2916,530.0, Achalasia and cardiospasm 
2917,530.1, Esophagitis 
2918,530.2, Ulcer of esophagus 
2919,530.3, Stricture and stenosis of esophagus 
2920,530.4, Perforation of esophagus 
2921,530.5, Dyskinesia of esophagus 
2922,530.6," Diverticulum of esophagus, acquired "
2923,530.7, Gastro-Esophageal laceration-hemorrhage syndrome 
2924,530.8, Other disorders of esophagus 
2925,530.9, Unspecified 
2926,531,Gastric ulcer 
2927,531.0, Acute with hemorrhage 
2928,531.1, Acute with perforation 
2929,531.2, Acute with hemorrhage and perforation 
2930,531.3, Acute without mention of hemorrhage or perforation 
2931,531.4, Chronic or unspecified with hemorrhage 
2932,531.5, Chronic or unspecified with perforation 
2933,531.6, Chronic or unspecified with hemorrhage and perforation 
2934,531.7, Chronic without mention of hemorrhage or perforation 
2935,531.9, Unspecified as acute or chronic without mention of hemorrhage or perforation 
2936,532,Duodenal ulcer 
2937,532.0, Acute with hemorrhage 
2938,532.1, Acute with perforation 
2939,532.2, Acute with hemorrhage and perforation 
2940,532.3, Acute without mention of hemorrhage or perforation 
2941,532.4, Chronic or unspecified with hemorrhage 
2942,532.5, Chronic or unspecified with perforation 
2943,532.6, Chronic or unspecified with hemorrhage and perforation 
2944,532.7, Chronic without mention of hemorrhage or perforation 
2945,532.9, Unspecified as acute or chronic without mention of hemorrhage or perforation 
2946,533,"Peptic ulcer, site unspecified "
2947,533.0, Acute with hemorrhage 
2948,533.1, Acute with perforation 
2949,533.2, Acute with hemorrhage and perforation 
2950,533.3, Acute without mention of hemorrhage or perforation 
2951,533.4, Chronic or unspecified with hemorrhage 
2952,533.5, Chronic or unspecified with perforation 
2953,533.6, Chronic or unspecified with hemorrhage and perforation 
2954,533.7, Chronic without mention of hemorrhage or perforation 
2955,533.9, Unspecified as acute or chronic without mention of hemorrhage or perforation 
2956,534,Gastrojejunal ulcer 
2957,534.0, Acute with hemorrhage 
2958,534.1, Acute with perforation 
2959,534.2, Acute with hemorrhage and perforation 
2960,534.3, Acute without mention of hemorrhage or perforation 
2961,534.4, Chronic or unspecified with hemorrhage 
2962,534.5, Chronic or unspecified with perforation 
2963,534.6, Chronic or unspecified with hemorrhage and perforation 
2964,534.7, Chronic without mention of hemorrhage or perforation 
2965,534.9, Unspecified as acute or chronic without mention of hemorrhage or perforation 
2966,535,Gastritis and duodenitis 
2967,535.0, Acute gastritis 
2968,535.1, Atrophic gastritis 
2969,535.2, Gastric mucosal hypertrophy 
2970,535.3, Alcoholic gastritis 
2971,535.4, Other gastritis 
2972,535.5, Unspecified gastritis and gastroduodenitis 
2973,535.6, Duodenitis 
2974,536,Disorders of function of stomach 
2975,536.0, Achlorhydria 
2976,536.1, Acute dilatation of stomach 
2977,536.2, Habit vomiting 
2978,536.8, Dyspepsia and other disorders of function of stomach 
2979,536.9, Unspecified 
2980,537,Other disorders of stomach and duodenum 
2981,537.0, Adult hypertrophic pyloric stenosis 
2982,537.1, Gastric diverticulum 
2983,537.2, Chronic duodenal ileus 
2984,537.3, Other obstruction of duodenum 
2985,537.4, Fistula of stomach or duodenum 
2986,537.5, Gastroptosis 
2987,537.6, Hourglass stricture or stenosis of stomach 
2988,537.8, Other 
2989,537.9, Unspecified 
2991,540,Acute appendicitis 
2992,540.0, With generalized peritonitis 
2993,540.1, With peritoneal abscess 
2994,540.9, Without mention of peritonitis 
2995,541,"Appendicitis, unqualified "
2996,542,Other appendicitis 
2997,543,Other diseases of appendix 
2999,550,Inguinal hernia 
3000,550.0, Inguinal hernia with gangrene 
3001,550.1, Inguinal hernia with obstruction without mention of gangrene 
3002,550.9, Inguinal hernia without mention of obstruction or gangrene 
3003,551,"Other hernia of abdominal cavity, with gangrene "
3004,551.0, Femoral with gangrene 
3005,551.1, Umbilical with gangrene 
3006,551.2, Ventral -incisional with gangrene 
3007,551.3, Diaphragmatic with gangrene 
3008,551.8, Of other specified sites with gangrene 
3009,551.9, Of unspecified site with gangrene 
3010,552,"Other hernia of abdominal cavity with obstruction, without mention of gangrene "
3011,552.0, Femoral with obstruction 
3012,552.1, Umbilical with obstruction 
3013,552.2, Ventral -incisional with obstruction 
3014,552.3, Diaphragmatic with obstruction 
3015,552.8, Of other specified sites with obstruction 
3016,552.9, Of unspecified site with obstruction 
3017,553,Other hernia of abdominal cavity without mention of obstruction or gangrene 
3018,553.0, Femoral 
3019,553.1, Umbilical 
3020,553.2, Ventral -incisional 
3021,553.3, Diaphragmatic 
3022,553.8, Of other specified sites 
3023,553.9, Of unspecified site 
3025,555,Regional enteritis 
3026,555.0, Small intestine 
3027,555.1, Large intestine 
3028,555.2, Small intestine with large intestine 
3029,555.9, Unspecified site 
3030,556,Idiopathic proctocolitis 
3031,557,Vascular insufficiency of intestine 
3032,557.0, Acute 
3033,557.1, Chronic 
3034,557.9, Unspecified 
3035,558,Other noninfective gastroenteritis and colitis 
3037,560,Intestinal obstruction without mention of hernia 
3038,560.0, Intussusception 
3039,560.1, Paralytic ileus 
3040,560.2, Volvulus 
3041,560.3, Impaction of intestine 
3042,560.8, Other intestinal obstruction 
3043,560.9, Unspecified intestinal obstruction 
3044,562,Diverticula of intestine 
3045,562.0, Small intestine 
3046,562.1, Colon 
3047,564,"Functional digestive disorders, not elsewhere classified "
3048,564.0, Constipation 
3049,564.1, Irritable colon 
3050,564.4, Other postoperative functional disorders 
3051,564.5, Functional diarrhea 
3052,564.6, Anal spasm 
3053,564.7," Megacolon, other than Hirschsprung's "
3054,564.8, Other functional disorders of intestine 
3055,564.9, Unspecified 
3056,565,Anal fissure and fistula 
3057,565.0, Anal fissure 
3058,565.1, Anal fistula 
3059,566,Abscess of anal and rectal regions 
3060,567,Peritonitis 
3061,567.1, Pneumococcal peritonitis 
3062,567.2, Other suppurative peritonitis 
3063,567.8, Other peritonitis 
3064,567.9, Unspecified 
3065,568,Other disorders of peritoneum 
3066,568.0, Peritoneal adhesions 
3067,568.8, Other 
3068,568.9, Unspecified 
3069,569,Other disorders of intestine 
3070,569.0, Anal and rectal polyp 
3071,569.1, Rectal prolapse 
3072,569.2, Stenosis of rectum and anus 
3073,569.3, Hemorrhage of rectum and anus 
3074,569.4, Other disorders of rectum and anus 
3075,569.5, Abscess of intestine 
3076,569.8, Other 
3077,569.9, Unspecified 
3079,570,Acute and subacute necrosis of liver 
3080,571,Chronic liver disease and cirrhosis 
3081,571.0, Alcoholic fatty liver 
3082,571.1, Acute alcoholic hepatitis 
3083,571.2, Alcoholic cirrhosis of liver 
3084,571.3," Alcoholic liver damage, unspecified "
3085,571.4, Chronic hepatitis 
3086,571.5, Cirrhosis of liver without mention of alcohol 
3087,571.6, Biliary cirrhosis 
3088,571.8, Other chronic nonalcoholic liver disease 
3089,571.9, Unspecified chronic liver disease without mention of alcohol 
3090,572,Liver abscess and sequelae of chronic liver disease 
3091,572.0, Abscess of liver 
3092,572.1, Portal pyemia 
3093,572.2, Hepatic coma 
3094,572.3, Portal hypertension 
3095,572.4, Hepatorenal syndrome 
3096,572.8, Other sequelae of chronic liver disease 
3097,573,Other disorders of liver 
3098,573.0, Chronic passive congestion of liver 
3099,573.3, Hepatitis unspecified 
3100,573.4, Hepatic infarction 
3101,573.8, Other 
3102,573.9, Unspecified 
3103,574,Cholelithiasis 
3104,574.0, Calculus of gallbladder with acute cholecystitis 
3105,574.1, Calculus of gallbladder with other cholecystitis 
3106,574.2, Calculus of gallbladder without mention of cholecystitis 
3107,574.3, Calculus of bile duct with acute cholecystitis 
3108,574.4, Calculus of bile duct with other cholecystitis 
3109,574.5, Calculus of bile duct without mention of cholecystitis 
3110,575,Other disorders of gallbladder 
3111,575.0, Acute cholecystitis 
3112,575.1, Other cholecystitis 
3113,575.2, Obstruction of gallbladder 
3114,575.3, Hydrops of gallbladder 
3115,575.4, Perforation of gallbladder 
3116,575.5, Fistula of gallbladder 
3117,575.6, Cholesterolosis of gallbladder 
3118,575.8, Other 
3119,575.9, Unspecified 
3120,576,Other disorders of biliary tract 
3121,576.1, Cholangitis 
3122,576.2, Obstruction of bile duct 
3123,576.3, Perforation of bile duct 
3124,576.4, Fistula of bile duct 
3125,576.5, Spasm of sphincter of Oddi 
3126,576.8, Other 
3127,576.9, Unspecified 
3128,577,Diseases of pancreas 
3129,577.0, Acute pancreatitis 
3130,577.1, Chronic pancreatitis 
3131,577.2, Cyst and pseudocyst of pancreas 
3132,577.8, Other diseases of pancreas 
3133,577.9, Unspecified 
3134,578,Gastrointestinal hemorrhage 
3135,578.0, Hematemesis 
3136,578.1, Melena 
3137,578.9," Hemorrhage of gastrointestinal tract, unspecified "
3138,579,Intestinal malabsorption 
3139,579.0, Celiac disease 
3140,579.1, Tropical sprue 
3141,579.4, Pancreatic steatorrhea 
3142,579.8, Other 
3143,579.9, Unspecified 
3145,580,Acute glomerulonephritis 
3146,580.0, With lesion of proliferative glomerulonephritis 
3147,580.4, With lesion of rapidly progressive glomerulonephritis 
3148,580.8, With other specified pathological lesion in kidney 
3149,580.9, Unspecified 
3150,581,Nephrotic syndrome 
3151,581.0, With lesion of proliferative glomerulonephritis 
3152,581.1, With lesion of membranous glomerulonephritis 
3153,581.2, With lesion of membranoproliferative glomerulonephritis 
3154,581.3, With lesion of minimal change glomerulonephritis 
3155,581.8, With other specified pathological lesion in kidney 
3156,581.9, Unspecified 
3157,582,Chronic glomerulonephritis 
3158,582.0, With lesion of proliferative glomerulonephritis 
3159,582.1, With lesion of membranous glomerulonephritis 
3160,582.2, With lesion of membranoproliferative glomerulonephritis 
3161,582.4, With lesion of rapidly progressive glomerulonephritis 
3162,582.8, With other specified pathological lesion in kidney 
3163,582.9, Unspecified 
3164,583,"Nephritis and nephropathy, not specified as acute or chronic "
3165,583.0, With lesion of proliferative glomerulonephritis 
3166,583.1, With lesion of membranous glomerulonephritis 
3167,583.2, With lesion of membranoproliferative glomerulonephritis 
3168,583.4, With lesion of rapidly progressive glomerulonephritis 
3169,583.6, With lesion of renal cortical necrosis 
3170,583.7, With lesion of renal medullary necrosis 
3171,583.8, With other specified pathological lesion in kidney 
3172,583.9, With unspecified pathological lesion in kidney 
3173,584,Acute renal failure 
3174,584.5, With lesion of tubular necrosis 
3175,584.6, With lesion of renal cortical necrosis 
3176,584.7, With lesion of renal medullary -papillary necrosis 
3177,584.8, With other specified pathological lesion in kidney 
3178,584.9, Unspecified 
3179,585,Chronic renal failure 
3180,586,"Renal failure, unspecified "
3181,587,"Renal sclerosis, unspecified "
3182,588,Disorders resulting from impaired renal function 
3183,588.0, Renal osteodystrophy 
3184,588.1, Nephrogenic diabetes insipidus 
3185,588.8, Other 
3186,588.9, Unspecified 
3187,589,Small kidney of unknown cause 
3188,589.0, Unilateral 
3189,589.1, Bilateral 
3190,589.9, Unspecified 
3192,590,Infections of kidney 
3193,590.0, Chronic pyelonephritis and chronic pyonephrosis 
3194,590.1, Acute pyelonephritis and acute pyonephrosis 
3195,590.2, Renal and perinephric abscess 
3196,590.3, Pyeloureteritis cystica 
3197,590.8," Pyelonephritis or pyonephrosis, not specified as acute or chronic "
3198,590.9," Infection of kidney, unspecified "
3199,591,Hydronephrosis 
3200,592,Calculus of kidney and ureter 
3201,592.0, Calculus of kidney 
3202,592.1, Calculus of ureter 
3203,592.9," Urinary calculus, unspecified "
3204,593,Other disorders of kidney and ureter 
3205,593.0, Nephroptosis 
3206,593.1, Hypertrophy of kidney 
3207,593.2," Cyst of kidney, acquired "
3208,593.3, Stricture or kinking of ureter 
3209,593.4, Other ureteric obstruction 
3210,593.5, Hydroureter 
3211,593.6, Postural proteinuria 
3212,593.7, Vesicoureteric reflux 
3213,593.8, Other 
3214,593.9, Unspecified 
3215,594,Calculus of lower urinary tract 
3216,594.0, Calculus in diverticulum of bladder 
3217,594.1, Other calculus in bladder 
3218,594.2, Calculus in urethra 
3219,594.8, Other lower urinary tract calculus 
3220,594.9, Unspecified 
3221,595,Cystitis 
3222,595.0, Acute cystitis 
3223,595.1, Chronic interstitial cystitis 
3224,595.2, Other chronic cystitis 
3225,595.3, Trigonitis 
3226,595.8, Other 
3227,595.9, Unspecified 
3228,596,Other disorders of bladder 
3229,596.0, Bladder-neck obstruction 
3230,596.1, Intestinovesical fistula 
3231,596.2," Vesical fistula, not elsewhere classified "
3232,596.3, Diverticulum of bladder 
3233,596.4, Atony of bladder 
3234,596.5, Other functional disorders of bladder 
3235,596.6," Rupture of bladder, nontraumatic "
3236,596.7, Hemorrhage into bladder wall 
3237,596.8, Other 
3238,596.9, Unspecified 
3239,597,"Urethritis, not sexually transmitted, and urethral syndrome "
3240,597.0, Urethral abscess 
3241,597.8, Other urethritis 
3242,598,Urethral stricture 
3243,598.0, Infective 
3244,598.1, Traumatic 
3245,598.2, Postoperative 
3246,598.8, Other 
3247,598.9, Unspecified 
3248,599,Other disorders of urethra and urinary tract 
3249,599.0," Urinary tract infection, site not specified "
3250,599.1, Urethral fistula 
3251,599.2, Urethral diverticulum 
3252,599.3, Urethral caruncle 
3253,599.4, Urethral false passage 
3254,599.5, Prolapsed urethral mucosa 
3255,599.6," Urinary obstruction, unspecified "
3256,599.7, Hematuria 
3257,599.8, Other 
3258,599.9, Unspecified 
3260,600,Hyperplasia of prostate 
3261,601,Inflammatory diseases of prostate 
3262,601.0, Acute prostatitis 
3263,601.1, Chronic prostatitis 
3264,601.2, Abscess of prostate 
3265,601.3, Prostatocystitis 
3266,601.8, Other 
3267,601.9, Unspecified 
3268,602,Other disorders of prostate 
3269,602.0, Calculus of prostate 
3270,602.1, Congestion or hemorrhage of prostate 
3271,602.2, Atrophy of prostate 
3272,602.8, Other 
3273,602.9, Unspecified 
3274,603,Hydrocele 
3275,603.0, Encysted hydrocele 
3276,603.1, Infected hydrocele 
3277,603.8, Other 
3278,603.9, Unspecified 
3279,604,Orchitis and epididymitis 
3280,604.0," Orchitis, epididymitis, and epididymo-orchitis, with abscess "
3281,604.9," Orchitis, epididymitis, and epididymo-orchitis, without mention of abscess "
3282,605,Redundant prepuce and phimosis 
3283,606,"Infertility, male "
3284,607,Disorders of penis 
3285,607.0, Leukoplakia of penis 
3286,607.1, Balanoposthitis 
3287,607.2, Other inflammatory disorders of penis 
3288,607.3, Priapism 
3289,607.8, Other 
3290,607.9, Unspecified 
3291,608,Other disorders of male genital organs 
3292,608.0, Seminal vesiculitis 
3293,608.1, Spermatocele 
3294,608.2, Torsion of testis 
3295,608.3, Atrophy of testis 
3296,608.4, Other inflammatory disorders of male genital organs 
3297,608.8, Other 
3298,608.9, Unspecified 
3300,610,Benign mammary dysplasias 
3301,610.0, Solitary cyst of breast 
3302,610.1, Diffuse cystic mastopathy 
3303,610.2, Fibroadenosis of breast 
3304,610.3, Fibrosclerosis of breast 
3305,610.4, Mammary duct ectasia 
3306,610.8, Other 
3307,610.9," Mammary dysplasia, unspecified "
3308,611,Other disorders of breast 
3309,611.0, Inflammatory disease of breast 
3310,611.1, Hypertrophy of breast 
3311,611.2, Fissure of nipple 
3312,611.3, Fat necrosis of breast 
3313,611.4, Atrophy of breast 
3314,611.5, Galactocele 
3315,611.6, Galactorrhea not associated with childbirth 
3316,611.7, Signs and symptoms in breast 
3317,611.8, Other 
3318,611.9, Unspecified 
3320,614,"Inflammatory disease of ovary, fallopian tube, pelvic cellular tissue, and peritoneum "
3321,614.0, Acute salpingitis and oophoritis 
3322,614.1, Chronic salpingitis and oophoritis 
3323,614.2," Salpingitis and oophoritis, not specified as acute, subacute, or chronic "
3324,614.3, Acute parametritis and pelvic cellulitis 
3325,614.4, Chronic or unspecified parametritis and pelvic cellulitis 
3326,614.5," Acute or unspecified pelvic peritonitis, female "
3327,614.6," Pelvic peritoneal adhesions, female "
3328,614.7," Other chronic pelvic peritonitis, female "
3329,614.8, Other specified inflammatory disease of female pelvic organs and tissues 
3330,614.9, Unspecified inflammatory disease of female pelvic organs and tissues 
3331,615,"Inflammatory diseases of uterus, except cervix "
3332,615.0, Acute 
3333,615.1, Chronic 
3334,615.9, Unspecified 
3335,616,"Inflammatory disease of cervix, vagina, and vulva "
3336,616.0, Cervicitis and endocervicitis 
3337,616.1, Vaginitis and vulvovaginitis 
3338,616.2, Cyst of Bartholin's gland 
3339,616.3, Abscess of Bartholin's gland 
3340,616.4, Other abscess of vulva 
3341,616.5, Ulceration of vulva 
3342,616.8, Other 
3343,616.9, Unspecified 
3345,617,Endometriosis 
3346,617.0, Uterus 
3347,617.1, Ovary 
3348,617.2, Fallopian tube 
3349,617.3, Pelvic peritoneum 
3350,617.4, Rectovaginal septum and vagina 
3351,617.5, Intestine 
3352,617.6, Endometriosis in scar or skin 
3353,617.8, Other specified sites 
3354,617.9, Site unspecified 
3355,618,Genital prolapse 
3356,618.0, Prolapse of vaginal walls without mention of uterine prolapse 
3357,618.1, Uterine prolapse without mention of vaginal wall prolapse 
3358,618.2," Uterovaginal prolapse, incomplete "
3359,618.3," Uterovaginal prolapse, complete "
3360,618.4," Uterovaginal prolapse, unspecified "
3361,618.5, Prolapse of vaginal vault after hysterectomy 
3362,618.6," Vaginal enterocele, congenital or acquired "
3363,618.7, Old laceration of muscles of pelvic floor 
3364,618.8, Other 
3365,618.9, Unspecified 
3366,619,Fistulae involving female genital tract 
3367,619.0," Urinary-genital tract fistulae, female "
3368,"genital tract fistulae, female ", Digestive
3369,"skin fistulae, female ", Genital tract
3370,619.8, Other 
3371,619.9, Unspecified fistula involving female genital tract 
3372,620,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament "
3373,620.0, Follicular cyst of ovary 
3374,620.1, Corpus luteum cyst or hematoma 
3375,620.2, Other and unspecified ovarian cyst 
3376,620.3, Acquired atrophy of ovary and fallopian tube 
3377,620.4, Prolapse or hernia of ovary and fallopian tube 
3378,620.5," Torsion of ovary, ovarian pedicle or fallopian tube "
3379,620.6, Broad ligament laceration syndrome 
3380,620.7, Hematoma of broad ligament 
3381,620.8, Other 
3382,620.9, Unspecified 
3383,621,"Disorders of uterus, not elsewhere classified "
3384,621.0, Polyp of corpus uteri 
3385,621.1, Chronic subinvolution of uterus 
3386,621.2, Hypertrophy of uterus 
3387,621.3, Endometrial cystic hyperplasia 
3388,621.4, Hematometra 
3389,621.5, Intrauterine synechiae 
3390,621.6, Malposition of uterus 
3391,621.7, Chronic inversion of uterus 
3392,621.8, Other 
3393,621.9, Unspecified disorders of uterus 
3394,622,Noninflammatory disorders of cervix 
3395,622.0, Erosion and ectropion of cervix 
3396,622.1, Dysplasia of cervix -uteri 
3397,622.2, Leukoplakia of cervix -uteri 
3398,622.3, Old laceration of cervix 
3399,622.4, Stricture and stenosis of cervix 
3400,622.5, Incompetence of cervix 
3401,622.6, Hypertrophic elongation of cervix 
3402,622.7, Mucous polyp of cervix 
3403,622.8, Other 
3404,622.9, Unspecified 
3405,623,Noninflammatory disorders of vagina 
3406,623.0, Dysplasia of vagina 
3407,623.1, Leukoplakia of vagina 
3408,623.2, Stricture or atresia of vagina 
3409,623.3, Tight hymenal ring 
3410,623.4, Old vaginal laceration 
3411,623.5," Leukorrhea, not specified as infective "
3412,623.6, Vaginal hematoma 
3413,623.7, Polyp of vagina 
3414,623.8, Other 
3415,623.9, Unspecified 
3416,624,Noninflammatory disorders of vulva and perineum 
3417,624.0, Dystrophy of vulva 
3418,624.1, Atrophy of vulva 
3419,624.2, Hypertrophy of clitoris 
3420,624.3, Hypertrophy of labia 
3421,624.4, Old laceration or scarring of vulva 
3422,624.5, Hematoma of vulva 
3423,624.6, Polyp of labia and vulva 
3424,624.8, Other 
3425,624.9, Unspecified 
3426,625,Pain and other symptoms associated with female genital organs 
3427,625.0, Dyspareunia 
3428,625.1, Vaginismus 
3429,625.2, Mittelschmerz 
3430,625.3, Dysmenorrhea 
3431,625.4, Premenstrual tension syndromes 
3432,625.5, Pelvic congestion syndrome 
3433,625.6," Stress incontinence, female "
3434,625.8, Other 
3435,625.9, Unspecified 
3436,626,Disorders of menstruation and other abnormal bleeding from female genital tract 
3437,626.0, Absence of menstruation 
3438,626.1, Scanty or infrequent menstruation 
3439,626.2, Excessive or frequent menstruation 
3440,626.3, Puberty bleeding 
3441,626.4, Irregular menstrual cycle 
3442,626.5, Ovulation bleeding 
3443,626.6, Metrorrhagia 
3444,626.7, Postcoital bleeding 
3445,626.8, Other 
3446,626.9, Unspecified 
3447,627,Menopausal and postmenopausal disorders 
3448,627.0, Premenopausal menorrhagia 
3449,627.1, Postmenopausal bleeding 
3450,627.2, Menopausal or female climacteric states 
3451,627.3, Postmenopausal atrophic vaginitis 
3452,627.4, States associated with artificial menopause 
3453,627.8, Other 
3454,627.9, Unspecified 
3455,628,"Infertility, female "
3456,628.0, Associated with anovulation 
3457,628.2, Of tubal origin 
3458,628.3, Of uterine origin 
3459,628.4, Of cervical or vaginal origin 
3460,628.8, Of other specified origin 
3461,628.9, Of unspecified origin 
3462,629,Other disorders of female genital organs 
3463,629.0," Hematocele, female "
3464,629.1," Hydrocele, canal of Nuck "
3465,629.8, Other 
3466,629.9, Unspecified 
3468,630,Hydatidiform mole 
3469,631,Other abnormal product of conception 
3470,632,Missed abortion 
3471,633,Ectopic pregnancy 
3472,633.0, Abdominal pregnancy 
3473,633.1, Tubal pregnancy 
3474,633.2, Ovarian pregnancy 
3475,633.8, Other ectopic pregnancy 
3476,633.9, Unspecified 
3477,634,Spontaneous abortion 
3478,634.0, Complicated by genital tract and pelvic infection 
3479,634.1, Complicated by delayed or excessive hemorrhage 
3480,634.2, Complicated by damage to pelvic organs and tissues 
3481,634.3, Complicated by renal failure 
3482,634.4, Complicated by metabolic disorder 
3483,634.5, Complicated by shock 
3484,634.6, Complicated by embolism 
3485,634.7, With other specified complications 
3486,634.8, With unspecified complications 
3487,634.9, Without mention of complication 
3488,635,Legally induced abortion 
3489,635.0, Complicated by genital tract and pelvic infection 
3490,635.1, Complicated by delayed or excessive hemorrhage 
3491,635.2, Complicated by damage to pelvic organs and tissues 
3492,635.3, Complicated by renal failure 
3493,635.4, Complicated by metabolic disorder 
3494,635.5, Complicated by shock 
3495,635.6, Complicated by embolism 
3496,635.7, With other specified complications 
3497,635.8, With unspecified complications 
3498,635.9, Without mention of complication 
3499,636,Illegally induced abortion 
3500,636.0, Complicated by genital tract and pelvic infection 
3501,636.1, Complicated by delayed or excessive hemorrhage 
3502,636.2, Complicated by damage to pelvic organs and tissues 
3503,636.3, Complicated by renal failure 
3504,636.4, Complicated by metabolic disorder 
3505,636.5, Complicated by shock 
3506,636.6, Complicated by embolism 
3507,636.7, With other specified complications 
3508,636.8, With unspecified complications 
3509,636.9, Without mention of complication 
3510,637,Unspecified abortion 
3511,637.0, Complicated by genital tract and pelvic infection 
3512,637.1, Complicated by delayed or excessive hemorrhage 
3513,637.2, Complicated by damage to pelvic organs and tissues 
3514,637.3, Complicated by renal failure 
3515,637.4, Complicated by metabolic disorder 
3516,637.5, Complicated by shock 
3517,637.6, Complicated by embolism 
3518,637.7, With other specified complications 
3519,637.8, With unspecified complications 
3520,637.9, Without mention of complication 
3521,638,Failed attempted abortion 
3522,638.0, Complicated by genital tract and pelvic infection 
3523,638.1, Complicated by delayed or excessive hemorrhage 
3524,638.2, Complicated by damage to pelvic organs and tissues 
3525,638.3, Complicated by renal failure 
3526,638.4, Complicated by metabolic disorder 
3527,638.5, Complicated by shock 
3528,638.6, Complicated by embolism 
3529,638.7, With other specified complications 
3530,638.8, With unspecified complications 
3531,638.9, Without mention of complication 
3533,640,Hemorrhage in early pregnancy 
3534,641,"Antepartum hemorrhage, abruptio placentae, and placenta praevia "
3535,642,"Hypertension complicating pregnancy, childbirth, and the puerperium "
3536,642.0," Benign essential hypertension complicating pregnancy, childbirth, and the puerperium "
3537,642.1," Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium "
3538,642.2," Other pre-Existing hypertension complicating pregnancy, childbirth, and the puerperium "
3539,642.3, Transient hypertension of pregnancy 
3540,642.4, Mild or unspecified pre-Eclampsia 
3541,642.5, Severe pre-Eclampsia 
3542,642.6, Eclampsia 
3543,642.7, Pre-Eclampsia or eclampsia superimposed on pre-Existing hypertension 
3544,642.9," Unspecified hypertension complicating pregnancy, childbirth, and the puerperium "
3545,643,Excessive vomiting in pregnancy 
3546,644,Early or threatened labor 
3547,645,Prolonged pregnancy 
3548,646,"Other complications of pregnancy, not elsewhere classified "
3549,646.0, Papyraceous fetus 
3550,646.1, Edema or excessive weight gain in pregnancy without mention of hypertension 
3551,646.2, Unspecified renal disease in pregnancy without mention of hypertension 
3552,646.3, Habitual aborter 
3553,646.4, Peripheral neuritis in pregnancy 
3554,646.5, Asymptomatic bacteriuria in pregnancy 
3555,646.6, Infections of genitourinary tract in pregnancy 
3556,646.7, Liver disorders in pregnancy 
3557,646.8, Other specified complications of pregnancy 
3558,646.9, Unspecified complication of pregnancy 
3559,647,"Infective and parasitic conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth, and the puerperium "
3560,647.0, Syphilis 
3561,647.1, Gonorrhea 
3562,647.2, Other venereal diseases 
3563,647.3, Tuberculosis 
3564,647.4, Malaria 
3565,647.5, Rubella 
3566,647.6, Other viral diseases 
3567,647.8, Other specified infective and parasitic diseases 
3568,647.9, Unspecified infection or infestation 
3569,648,"Other current conditions in the mother classifiable elsewhere but complicating pregnancy, childbirth, and the puerperium "
3570,648.0, Diabetes mellitus 
3571,648.1, Thyroid dysfunction 
3572,648.2, Anemia 
3573,648.3, Drug dependence 
3574,648.4, Mental disorders 
3575,648.5, Congenital cardiovascular disorders 
3576,648.6, Other cardiovascular diseases 
3577,648.7," Bone and joint disorders of back, pelvis, and lower limbs "
3578,648.8, Abnormal glucose tolerance 
3579,648.9, Other 
3580,1309," Normal delivery, and other indications for care in pregnancy, labor, and delivery "
3581,650,Delivery in a completely normal case 
3582,651,Multiple gestation 
3583,652,Malposition and malpresentation of fetus 
3584,653,Disproportion 
3585,654,Abnormality of organs and soft tissues of pelvis 
3586,655,Known or suspected fetal abnormality affecting management of mother 
3587,656,Other fetal and placental problems affecting management of mother 
3588,657,Polyhydramnios 
3589,658,Other problems associated with amniotic cavity and membranes 
3590,659,Other indications for care or intervention related to labor and delivery and not elsewhere classified 
3592,660,Obstructed labor 
3593,661,Abnormality of forces of labor 
3594,662,Long labor 
3595,663,Umbilical cord complications 
3596,664,Trauma to perineum and vulva during delivery 
3597,665,Other obstetrical trauma 
3598,666,Postpartum hemorrhage 
3599,667,Retained placenta or membranes without hemorrhage 
3600,668,Complications of the administration of anesthetic or other sedation in labor and delivery 
3601,669,"Other complications of labor and delivery, not elsewhere classified "
3603,670,Major puerperal infection 
3604,671,Venous complications in pregnancy and the puerperium 
3605,672,Pyrexia of unknown origin during the puerperium 
3606,673,Obstetrical pulmonary embolism 
3607,674,"Other and unspecified complications of the puerperium, not elsewhere classified "
3608,675,Infections of the breast and nipple associated with childbirth 
3609,676,Other disorders of the breast associated with childbirth and disorders of lactation 
3611,680,Carbuncle and furuncle 
3612,680.0, Face 
3613,680.1, Neck 
3614,680.2, Trunk 
3615,680.3, Upper arm and forearm 
3616,680.4, Hand 
3617,680.5, Buttock 
3618,680.6," Leg, except foot "
3619,680.7, Foot 
3620,680.8, Other specified site 
3621,680.9, Unspecified site 
3622,681,Cellulitis and abscess of finger and toe 
3623,681.0, Finger 
3624,681.1, Toe 
